epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,9020.04,0.85374,0.50398,0.97796,0.93584,0.79587,0.88632,0.66032,0.94336,0.54719,0.93792,0.00010405,0.00010405,0.00010405
183,9066.04,0.87234,0.51411,0.98269,0.93731,0.80051,0.888,0.66059,0.9447,0.54774,0.94022,9.91e-05,9.91e-05,9.91e-05
184,9111.95,0.86908,0.51289,0.98549,0.93614,0.79981,0.88622,0.65887,0.94691,0.54698,0.94192,9.415e-05,9.415e-05,9.415e-05
185,9157.71,0.86188,0.50991,0.98225,0.93223,0.7974,0.88607,0.65984,0.94556,0.54416,0.94223,8.92e-05,8.92e-05,8.92e-05
186,9203.38,0.86339,0.50924,0.97635,0.92943,0.79795,0.8854,0.65799,0.94673,0.54434,0.94259,8.425e-05,8.425e-05,8.425e-05
187,9249.23,0.85841,0.50976,0.97787,0.92465,0.79795,0.88546,0.6594,0.94655,0.54833,0.94067,7.93e-05,7.93e-05,7.93e-05
188,9295.49,0.87883,0.51995,0.98551,0.92722,0.79966,0.88689,0.65875,0.94578,0.54972,0.94082,7.435e-05,7.435e-05,7.435e-05
189,9341.39,0.85596,0.50714,0.98347,0.92486,0.80222,0.88525,0.65939,0.94216,0.54474,0.94058,6.94e-05,6.94e-05,6.94e-05
190,9387.5,0.87732,0.51022,0.98422,0.92664,0.80051,0.88361,0.65808,0.94106,0.5428,0.93911,6.445e-05,6.445e-05,6.445e-05
191,9448.08,0.79242,0.41863,0.93562,0.92391,0.79708,0.88055,0.65599,0.93719,0.54856,0.94004,5.95e-05,5.95e-05,5.95e-05
192,9494.1,0.782,0.41351,0.93032,0.92064,0.8011,0.88147,0.65784,0.93473,0.54942,0.94004,5.455e-05,5.455e-05,5.455e-05
193,9539.81,0.77424,0.41273,0.92777,0.92053,0.79881,0.88074,0.65771,0.9324,0.54871,0.93852,4.96e-05,4.96e-05,4.96e-05
194,9585.76,0.76824,0.40456,0.9236,0.92042,0.7971,0.88344,0.65922,0.93122,0.54694,0.93793,4.465e-05,4.465e-05,4.465e-05
195,9632.21,0.77057,0.40619,0.92327,0.92123,0.7976,0.88413,0.65829,0.93061,0.54683,0.93682,3.97e-05,3.97e-05,3.97e-05
196,9677.65,0.77039,0.4039,0.92904,0.9278,0.79625,0.88383,0.65807,0.93114,0.54775,0.93655,3.475e-05,3.475e-05,3.475e-05
197,9722.82,0.78096,0.40603,0.92585,0.92656,0.7959,0.88348,0.65955,0.93052,0.54892,0.93679,2.98e-05,2.98e-05,2.98e-05
198,9768.13,0.7531,0.39728,0.92127,0.92524,0.79126,0.88235,0.65917,0.92774,0.54974,0.93636,2.485e-05,2.485e-05,2.485e-05
199,9813.24,0.77966,0.40659,0.92065,0.92806,0.79185,0.88249,0.66055,0.92693,0.5498,0.93622,1.99e-05,1.99e-05,1.99e-05
200,9858.31,0.76619,0.40128,0.92371,0.92793,0.79033,0.8818,0.66129,0.92777,0.55009,0.93675,1.495e-05,1.495e-05,1.495e-05
