epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2014.55,1.21331,0.84997,1.12551,0.86677,0.73767,0.80888,0.50457,1.3237,0.82942,1.0353,0.00079705,0.00079705,0.00079705
43,2059.88,1.21868,0.88022,1.13087,0.8833,0.73557,0.82105,0.50413,1.37752,0.83741,1.06566,0.0007921,0.0007921,0.0007921
44,2105.52,1.22486,0.87532,1.13627,0.90114,0.7305,0.81984,0.50854,1.33403,0.86143,1.03256,0.00078715,0.00078715,0.00078715
45,2151.15,1.21803,0.87841,1.13152,0.89298,0.71697,0.82045,0.50456,1.37341,0.83102,1.04449,0.0007822,0.0007822,0.0007822
46,2197.09,1.22999,0.87599,1.13811,0.87256,0.74254,0.82205,0.52703,1.29862,0.85239,1.02924,0.00077725,0.00077725,0.00077725
47,2243.26,1.20567,0.84932,1.12123,0.87415,0.73429,0.81671,0.52041,1.3017,0.83727,1.03007,0.0007723,0.0007723,0.0007723
48,2289.48,1.18975,0.8426,1.11542,0.89306,0.73487,0.81731,0.51586,1.29175,0.83187,1.03398,0.00076735,0.00076735,0.00076735
49,2335.47,1.18113,0.85037,1.12722,0.85096,0.76044,0.83233,0.52685,1.27173,0.81102,1.02613,0.0007624,0.0007624,0.0007624
50,2381.4,1.17012,0.83346,1.11602,0.87858,0.74027,0.82749,0.54873,1.2266,0.7899,1.01888,0.00075745,0.00075745,0.00075745
51,2427.74,1.18913,0.82796,1.11548,0.87233,0.76307,0.83542,0.53849,1.29397,0.79646,1.03104,0.0007525,0.0007525,0.0007525
52,2474.31,1.18683,0.83044,1.11318,0.87509,0.74851,0.81961,0.54318,1.23092,0.80094,1.02056,0.00074755,0.00074755,0.00074755
53,2520.5,1.19513,0.83875,1.12945,0.89237,0.75634,0.84015,0.54227,1.27141,0.79828,1.03141,0.0007426,0.0007426,0.0007426
54,2566.6,1.18262,0.83054,1.12214,0.87257,0.75021,0.82429,0.53505,1.26635,0.79799,1.02465,0.00073765,0.00073765,0.00073765
55,2612.8,1.1672,0.83185,1.11104,0.89893,0.74851,0.84103,0.54543,1.2622,0.79867,1.01471,0.0007327,0.0007327,0.0007327
56,2659.06,1.16595,0.82553,1.10213,0.91018,0.75362,0.83475,0.53781,1.26461,0.79568,1.01366,0.00072775,0.00072775,0.00072775
57,2705.31,1.16305,0.815,1.10746,0.90778,0.74692,0.83482,0.51393,1.32898,0.80655,1.03957,0.0007228,0.0007228,0.0007228
58,2751.78,1.17269,0.81021,1.10869,0.90324,0.74595,0.83294,0.53328,1.28206,0.80086,1.02701,0.00071785,0.00071785,0.00071785
59,2798.22,1.16051,0.7963,1.10262,0.87478,0.76231,0.83308,0.56084,1.20039,0.75224,1.01115,0.0007129,0.0007129,0.0007129
60,2844.78,1.15796,0.80784,1.11005,0.9216,0.7468,0.8416,0.55204,1.23083,0.73038,1.01825,0.00070795,0.00070795,0.00070795
61,2891.21,1.15883,0.79296,1.09957,0.91277,0.74931,0.8317,0.54321,1.25294,0.74777,1.01192,0.000703,0.000703,0.000703
62,2937.83,1.14372,0.77738,1.10397,0.91347,0.74936,0.84076,0.55822,1.18563,0.75967,1.00898,0.00069805,0.00069805,0.00069805
63,2984.14,1.14141,0.77338,1.09157,0.91589,0.75197,0.84427,0.55762,1.23016,0.76422,1.00404,0.0006931,0.0006931,0.0006931
64,3030.6,1.1375,0.79722,1.09628,0.91251,0.74084,0.84003,0.55296,1.21699,0.7603,1.00268,0.00068815,0.00068815,0.00068815
65,3076.9,1.1448,0.77305,1.09215,0.88786,0.76812,0.84695,0.56519,1.17381,0.74432,1.00125,0.0006832,0.0006832,0.0006832
66,3123.36,1.10911,0.75708,1.07721,0.91591,0.75217,0.84298,0.55559,1.21535,0.72042,1.00078,0.00067825,0.00067825,0.00067825
67,3169.82,1.12828,0.76201,1.0848,0.89889,0.77067,0.85068,0.55402,1.22277,0.75536,1.0012,0.0006733,0.0006733,0.0006733
68,3216.28,1.11913,0.76137,1.09064,0.89761,0.77408,0.85224,0.57425,1.1241,0.71763,0.98602,0.00066835,0.00066835,0.00066835
69,3262.83,1.12061,0.74678,1.08332,0.92959,0.76531,0.85462,0.57253,1.17192,0.70934,0.99659,0.0006634,0.0006634,0.0006634
70,3309.32,1.12056,0.75541,1.08019,0.90978,0.74936,0.84974,0.56858,1.21051,0.7232,1.00178,0.00065845,0.00065845,0.00065845
71,3355.8,1.10214,0.75908,1.08136,0.91327,0.76215,0.84313,0.5626,1.1991,0.73524,0.99283,0.0006535,0.0006535,0.0006535
72,3402.32,1.1334,0.76628,1.09694,0.90057,0.7613,0.843,0.55892,1.20551,0.734,0.98834,0.00064855,0.00064855,0.00064855
73,3448.75,1.11551,0.75536,1.08833,0.91741,0.75959,0.85332,0.56645,1.18629,0.70855,0.99871,0.0006436,0.0006436,0.0006436
74,3495.26,1.10358,0.73655,1.07387,0.88941,0.763,0.84611,0.57061,1.17805,0.71445,0.99971,0.00063865,0.00063865,0.00063865
75,3541.79,1.12067,0.75236,1.08864,0.90858,0.76385,0.84742,0.56493,1.18606,0.71744,1.00007,0.0006337,0.0006337,0.0006337
76,3588.16,1.09449,0.72567,1.0799,0.91315,0.77408,0.85666,0.58771,1.10446,0.68976,0.97673,0.00062875,0.00062875,0.00062875
77,3634.71,1.09135,0.73023,1.06694,0.90715,0.77749,0.8548,0.583,1.13477,0.69519,0.98722,0.0006238,0.0006238,0.0006238
78,3681.13,1.08935,0.72398,1.07,0.91415,0.76044,0.8553,0.58604,1.11539,0.71581,0.97691,0.00061885,0.00061885,0.00061885
